id,0_zeros,1_organic_max,2_inorganic_max,3_acid_max,4_max_acid_max_org,5_max_acid_max_inor,chemical_list
2019-08-08T16,"(0, 0, 0)","(0, 2.4563335488357088, 0)","(1.7002874653662468, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.2281667744178544, 14.577449489463397)","(0.755683317940554, 0, 14.577449489463397)","['PbI2', '4FluoroBenzylammoniumIodide', 'DMF']"
2019-05-29T19,"(0, 0, 0)","(0, 1.9887475851945857, 0)","(1.8351562379877195, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.9943737925972929, 14.577449489463397)","(0.8156249946612085, 0, 14.577449489463397)","['PbI2', '4FluoroPhenethylammoniumIodide', 'GBL']"
2019-06-18T19,"(0, 0, 0)","(0, 1.6410106384727363, 0)","(1.1736219109784392, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.8205053192363682, 14.577449489463397)","(0.5216097382126395, 0, 14.577449489463397)","['PbI2', '4FluoroPhenylammoniumIodide', 'GBL']"
2019-04-10T15,"(0, 0, 0)","(0, 1.7330021896216574, 0)","(1.5135790560860456, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.8665010948108287, 14.577449489463397)","(0.6727018027049091, 0, 14.577449489463397)","['PbI2', '4MethoxyPhenylammoniumIodide', 'GBL']"
2019-06-18T20,"(0, 0, 0)","(0, 2.6169908693897113, 0)","(1.7016840829834579, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.3084954346948556, 14.577449489463397)","(0.7563040368815369, 0, 14.577449489463397)","['PbI2', '4TrifluoromethylBenzylammoniumIodide', 'GBL']"
2019-06-18T20,"(0, 0, 0)","(0, 3.095834152242395, 0)","(1.3771864770412352, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.5479170761211976, 14.577449489463397)","(0.6120828786849934, 0, 14.577449489463397)","['PbI2', '4TrifluoromethylPhenylammoniumIodide', 'GBL']"
2018-07-19T17,"(0, 0, 0)","(0, 4.24200691415596, 0)","(0.9885448493282551, 0, 0)","(0, 0, 14.577449489463397)","(0, 2.12100345707798, 14.577449489463397)","(0.4393532663681134, 0, 14.577449489463397)","['PbI2', 'AcNH3I', 'GBL']"
2019-04-04T14,"(0, 0, 0)","(0, 4.288242178180091, 0)","(0.6796636097989089, 0, 0)","(0, 0, 14.577449489463397)","(0, 2.1441210890900453, 14.577449489463397)","(0.3020727154661818, 0, 14.577449489463397)","['PbI2', 'AcNH3I', 'GBL']"
2018-10-31T17,"(0, 0, 0)","(0, 2.0796274799863324, 0)","(1.2151420695603636, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.0398137399931662, 14.577449489463397)","(0.5400631420268281, 0, 14.577449489463397)","['PbI2', 'BenzylammoniumIodide', 'GBL']"
2018-12-03T19,"(0, 0, 0)","(0, 3.2703727591362366, 0)","(1.1007981770788284, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.6351863795681183, 14.577449489463397)","(0.48924363425725703, 0, 14.577449489463397)","['PbI2', 'BenzylammoniumIodide', 'GBL']"
2019-08-12T20,"(0, 0, 0)","(0, 3.756312066349901, 0)","(1.3124260467927433, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.87815603317495, 14.577449489463397)","(0.5833004652412191, 0, 14.577449489463397)","['PbI2', 'CyclohexylammoniumIodide', 'DMSO']"
2019-08-28T18,"(0, 0, 0)","(0, 3.1397652019975086, 0)","(1.4597166385323384, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.5698826009987543, 14.577449489463397)","(0.6487629504588169, 0, 14.577449489463397)","['PbI2', 'Diethylammoniumiodide', 'GBL']"
2019-04-10T15,"(0, 0, 0)","(0, 1.8100657551694517, 0)","(1.3926929825048966, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.9050328775847258, 14.577449489463397)","(0.6189746588910653, 0, 14.577449489463397)","['PbI2', 'EthylenediamineDihydriodide', 'DMF']"
2018-07-06T15,"(0, 0, 0)","(0, 4.319281156215057, 0)","(1.086168934456247, 0, 0)","(0, 0, 14.577449489463397)","(0, 2.159640578107528, 14.577449489463397)","(0.4827417486472207, 0, 14.577449489463397)","['PbI2', 'EtNH3I', 'GBL']"
2018-11-09T01,"(0, 0, 0)","(0, 4.364752857124204, 0)","(1.091542410076377, 0, 0)","(0, 0, 14.577449489463397)","(0, 2.1823764285621015, 14.577449489463397)","(0.4851299600339453, 0, 14.577449489463397)","['PbI2', 'EtNH3I', 'GBL']"
2019-03-29T13,"(0, 0, 0)","(0, 2.307788751728386, 0)","(1.431705725958663, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.1538943758641933, 14.577449489463397)","(0.6363136559816278, 0, 14.577449489463397)","['PbI2', 'FormamidiniumIodide', 'GBL']"
2018-07-12T19,"(0, 0, 0)","(0, 3.7824657631732643, 0)","(1.475339987077504, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.891232881586632, 14.577449489463397)","(0.655706660923335, 0, 14.577449489463397)","['PbI2', 'GnNH3I', 'GBL']"
2019-02-21T16,"(0, 0, 0)","(0, 4.093215892181745, 0)","(1.3203454737957363, 0, 0)","(0, 0, 14.577449489463397)","(0, 2.046607946090872, 14.577449489463397)","(0.5868202105758829, 0, 14.577449489463397)","['PbI2', 'iButylammoniumIodide', 'GBL']"
2018-10-15T17,"(0, 0, 0)","(0, 1.8367430959550457, 0)","(0.8694608353580366, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.9183715479775229, 14.577449489463397)","(0.3864270379369052, 0, 14.577449489463397)","['PbI2', 'ImidazoliumIodide', 'GBL']"
2019-05-29T19,"(0, 0, 0)","(0, 2.86863073934221, 0)","(1.5019747371028827, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.4343153696711048, 14.577449489463397)","(0.6675443276012811, 0, 14.577449489463397)","['PbI2', 'IPentylammoniumIodide', 'GBL']"
2018-12-11T18,"(0, 0, 0)","(0, 2.316742143357624, 0)","(1.852962845116918, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.158371071678812, 14.577449489463397)","(0.9264814225584589, 0, 14.577449489463397)","['PbI2', 'iPropylammoniumIodide', 'GBL']"
2019-02-21T16,"(0, 0, 0)","(0, 2.090683717214714, 0)","(1.4087356827143165, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.045341858607357, 14.577449489463397)","(0.6261047478730296, 0, 14.577449489463397)","['PbI2', 'Me2NH2I', 'DMF']"
2019-06-21T14,"(0, 0, 0)","(0, 2.005354572833429, 0)","(1.4244012363614165, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.0026772864167146, 14.577449489463397)","(0.6330672161606296, 0, 14.577449489463397)","['PbI2', 'Me2NH2I', 'DMF']"
2018-07-09T22,"(0, 0, 0)","(0, 1.9848270176403064, 0)","(0.9300118408970911, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.9924135088201532, 14.577449489463397)","(0.4133385959542628, 0, 14.577449489463397)","['PbI2', 'MeNH3I', 'GBL']"
2019-03-29T20,"(0, 0, 0)","(0, 2.366921452280617, 0)","(0.9535245786265856, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.1834607261403085, 14.577449489463397)","(0.4237887016118158, 0, 14.577449489463397)","['PbI2', 'MeNH3I', 'GBL']"
2019-09-05T19,"(0, 0, 0)","(0, 3.151675139941279, 0)","(2.51929797250501, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.5758375699706395, 14.577449489463397)","(1.259648986252505, 0, 14.577449489463397)","['PbI2', 'MorpholiniumIodide', 'DMF']"
2018-09-17T21,"(0, 0, 0)","(0, 3.447928476455505, 0)","(1.188409513798024, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.7239642382277522, 14.577449489463397)","(0.528182006132455, 0, 14.577449489463397)","['PbI2', 'n-BuNH3I', 'GBL']"
2019-04-12T13,"(0, 0, 0)","(0, 3.4366349086204027, 0)","(1.1982803943254237, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.7183174543102009, 14.577449489463397)","(0.5325690641446327, 0, 14.577449489463397)","['PbI2', 'n-BuNH3I', 'GBL']"
2019-02-21T17,"(0, 0, 0)","(0, 1.2505040836545762, 0)","(1.2506033958777683, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.6252520418272881, 14.577449489463397)","(0.6253016979388841, 0, 14.577449489463397)","['PbI2', 'nDodecylammoniumIodide', 'GBL']"
2018-12-11T15,"(0, 0, 0)","(0, 2.2390100075308537, 0)","(1.3627688554439379, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.1195050037654268, 14.577449489463397)","(0.6056750468639723, 0, 14.577449489463397)","['PbI2', 'neoPentylammoniumIodide', 'GBL']"
2019-09-03T16,"(0, 0, 0)","(0, 2.747568695701769, 0)","(1.1026757042076119, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.3737843478508844, 14.577449489463397)","(0.4900780907589386, 0, 14.577449489463397)","['PbI2', 'nOctylammoniumIodide', 'DMSO']"
2019-05-29T17,"(0, 0, 0)","(0, 3.466748526873546, 0)","(1.2593888609333619, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.733374263436773, 14.577449489463397)","(0.5597283826370497, 0, 14.577449489463397)","['PbI2', 'NPropylammoniumIodide', 'GBL']"
2019-08-02T12,"(0, 0, 0)","(0, 1.6030500017265796, 0)","(1.6023639535751573, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.8015250008632898, 14.577449489463397)","(0.8011819767875785, 0, 14.577449489463397)","['PbI2', 'PhenylammoniumIodide', 'GBL']"
2018-11-04T01,"(0, 0, 0)","(0, 1.3818111645968327, 0)","(1.6478566586271954, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.6909055822984164, 14.577449489463397)","(0.7323807371676425, 0, 14.577449489463397)","['PbI2', 'PhEtNH3I', 'GBL']"
2019-05-13T18,"(0, 0, 0)","(0, 1.4020615676000896, 0)","(1.3736746562137163, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.7010307838000447, 14.577449489463397)","(0.6105220694283184, 0, 14.577449489463397)","['PbI2', 'Propane13diammoniumIodide', 'DMF']"
2019-08-20T17,"(0, 0, 0)","(0, 1.441768652339604, 0)","(1.4418567718177489, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.720884326169802, 14.577449489463397)","(0.7209283859088744, 0, 14.577449489463397)","['PbI2', 'PyridiniumIodide', 'DMSO']"
2019-03-19T18,"(0, 0, 0)","(0, 3.148291915804373, 0)","(1.547082561135073, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.5741459579021864, 14.577449489463397)","(0.6875922493933657, 0, 14.577449489463397)","['PbI2', 'PyrrolidiniumIodide', 'DMSO']"
2019-08-02T14,"(0, 0, 0)","(0, 2.7091552045381104, 0)","(1.8052371756591257, 0, 0)","(0, 0, 14.577449489463397)","(0, 1.3545776022690552, 14.577449489463397)","(0.9026185878295627, 0, 14.577449489463397)","['PbI2', 'tButylammoniumIodide', 'GBL']"
2019-06-18T21,"(0, 0, 0)","(0, 1.540542205718178, 0)","(1.5399162720416615, 0, 0)","(0, 0, 14.577449489463397)","(0, 0.7702711028590888, 14.577449489463397)","(0.7699581360208307, 0, 14.577449489463397)","['PbI2', 'TertOctylammoniumIodide', 'GBL']"
